,0,1
21982.0,-4.2439609821612585,-1.8121107915184165
21975.0,9.672525383512289,5.51745316666674
51.0,-0.3952074724372167,-5.301271356038782
77.2,9.344892391312449,-2.593285901618392
23736.0,-4.6540067004661205,5.7204901151008585
124.0,1.4226611866296008,3.023664559785766
17193.0,14.330772973603008,-2.934626601168587
21985.0,-2.09553855101295,4.487866914073902
45.0,-3.6733883007009966,-10.141150841878517
19416.0,12.326104206706315,10.720642479249191
23749.0,-5.8903593037457735,7.554549121503609
17.0,7.516270157091368,-7.353087259479583
23745.0,-3.7405870420689977,-2.984442613031101
101.0,-0.5987277079093686,-2.8804953694926314
21976.0,-0.3234157927562625,-0.3000135946806313
21988.0,-3.229486605375302,1.6859629280666173
21990.0,10.071805509735558,1.0277776028083887
106.0,-6.379548585254624,3.7714020631781295
